City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
101,carutapera,BR,2020-11-11 00:44:06,-1.2,-46.02,77.54,87,25,4.47,scattered clouds
102,andenes,NO,2020-11-11 00:44:06,69.31,16.12,39.99,62,97,11.41,overcast clouds
103,clyde river,CA,2020-11-11 00:44:07,70.47,-68.59,-2.2,91,5,5.5,clear sky
104,banda aceh,ID,2020-11-11 00:44:07,5.56,95.32,80.83,79,1,10.04,clear sky
105,baykit,RU,2020-11-11 00:44:07,61.67,96.37,25.59,95,100,3.42,overcast clouds
106,hasaki,JP,2020-11-11 00:44:08,35.73,140.83,55.0,46,20,11.41,few clouds
107,valparaiso,CL,2020-11-11 00:43:02,-33.04,-71.63,57.0,100,90,6.93,overcast clouds
108,saldanha,ZA,2020-11-11 00:44:08,-33.01,17.94,53.6,71,0,4.7,clear sky
109,bathsheba,BB,2020-11-11 00:44:08,13.22,-59.52,78.8,78,20,9.17,shower rain
110,longyearbyen,SJ,2020-11-11 00:39:11,78.22,15.64,33.8,74,75,8.05,broken clouds
111,waipawa,NZ,2020-11-11 00:44:08,-41.41,175.52,55.99,76,99,13.87,light rain
112,norden,DE,2020-11-11 00:40:49,53.6,7.2,42.01,100,0,4.7,clear sky
113,norman wells,CA,2020-11-11 00:44:09,65.28,-126.83,-9.4,83,75,5.82,broken clouds
114,san patricio,US,2020-11-11 00:44:09,28.02,-97.52,78.8,61,75,10.29,broken clouds
115,latung,PH,2020-11-11 00:44:09,5.5,120.88,82.45,71,100,1.95,overcast clouds
116,outlook,CA,2020-11-11 00:44:10,51.5,-107.05,15.8,85,100,5.82,overcast clouds
117,podgornoye,RU,2020-11-11 00:44:10,51.73,39.15,30.2,80,0,6.71,clear sky
118,igarka,RU,2020-11-11 00:44:10,67.47,86.58,0.99,93,97,4.5,overcast clouds
119,upernavik,GL,2020-11-11 00:44:11,72.79,-56.15,11.88,91,100,3.94,overcast clouds
120,namatanai,PG,2020-11-11 00:44:11,-3.67,152.43,84.04,76,22,6.58,light rain
121,port-gentil,GA,2020-11-11 00:44:11,-0.72,8.78,79.02,78,100,5.68,overcast clouds
122,naze,JP,2020-11-11 00:44:11,28.37,129.48,73.4,60,75,17.22,broken clouds
123,griffith,US,2020-11-11 00:40:54,41.53,-87.42,70.0,73,40,19.46,scattered clouds
124,torbay,CA,2020-11-11 00:44:12,47.67,-52.73,52.0,93,20,31.09,few clouds
125,alizai,PK,2020-11-11 00:44:13,33.54,70.35,49.86,45,49,1.9,scattered clouds
126,prainha,BR,2020-11-11 00:44:13,-1.8,-53.48,76.32,86,99,4.14,overcast clouds
127,udachnyy,RU,2020-11-11 00:44:13,66.42,112.4,26.6,79,90,11.18,light shower snow
128,severo-kurilsk,RU,2020-11-11 00:44:13,50.68,156.12,37.13,75,97,12.33,overcast clouds
129,port blair,IN,2020-11-11 00:44:14,11.67,92.75,81.59,76,75,14.32,broken clouds
