City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,mahebourg,MU,2020-11-09 22:20:42,-20.41,57.7,71.6,78,40,9.17
128,isangel,VU,2020-11-09 22:22:14,-19.55,169.27,80.6,78,75,5.82
129,hwange,ZW,2020-11-09 22:31:12,-18.37,26.5,81.18,25,6,3.4
130,qaanaaq,GL,2020-11-09 22:24:17,77.48,-69.36,-5.31,67,0,6.17
131,souillac,MU,2020-11-09 22:24:36,-20.52,57.52,71.6,78,40,9.17
132,sayyan,YE,2020-11-09 22:31:12,15.17,44.32,51.24,48,0,7.0
133,terralba,IT,2020-11-09 22:31:12,39.72,8.64,64.4,87,40,5.82
134,khatanga,RU,2020-11-09 22:24:10,71.97,102.5,18.23,97,97,16.13
135,katangli,RU,2020-11-09 22:25:28,51.71,143.23,18.25,92,100,19.64
136,vostok,RU,2020-11-09 22:25:56,46.49,135.88,1.62,95,57,3.96
137,silleda,ES,2020-11-09 22:31:13,42.7,-8.25,48.2,93,40,4.7
138,cabo san lucas,MX,2020-11-09 22:24:11,22.89,-109.91,84.0,57,5,18.34
139,pudozh,RU,2020-11-09 22:31:13,61.81,36.53,34.27,89,71,7.9
140,iracoubo,GF,2020-11-09 22:31:14,5.48,-53.2,79.9,81,58,8.12
141,ponta delgada,PT,2020-11-09 22:31:14,37.73,-25.67,64.4,88,20,16.11
142,esperance,AU,2020-11-09 22:24:28,-33.87,121.9,51.8,87,40,14.99
143,port lincoln,AU,2020-11-09 22:22:15,-34.73,135.87,77.74,44,34,20.31
144,beloha,MG,2020-11-09 22:22:09,-25.17,45.05,74.62,48,0,6.49
145,agadez,NE,2020-11-09 22:31:15,19.75,10.25,65.03,33,0,13.73
146,verkhoyansk,RU,2020-11-09 22:22:17,67.54,133.38,-27.36,80,0,1.81
147,margate,GB,2020-11-09 22:30:29,51.38,1.39,57.0,93,97,1.01
148,georgetown,MY,2020-11-09 22:20:49,5.41,100.34,77.0,94,20,3.36
149,lavrentiya,RU,2020-11-09 22:31:16,65.58,-171.0,33.3,95,100,36.51
150,richards bay,ZA,2020-11-09 22:31:16,-28.78,32.04,68.05,81,98,9.95
151,omsukchan,RU,2020-11-09 22:31:16,62.53,155.8,-8.52,86,100,4.72
152,flic en flac,MU,2020-11-09 22:31:17,-20.27,57.36,71.6,78,40,9.17
153,dunedin,NZ,2020-11-09 22:25:27,-45.87,170.5,57.0,65,15,9.73
154,mehamn,NO,2020-11-09 22:31:17,71.04,27.85,39.2,60,75,35.57
155,sassandra,CI,2020-11-09 22:31:17,4.95,-6.08,77.58,86,81,4.43
156,abu samrah,SY,2020-11-09 22:22:07,35.3,37.18,61.72,58,1,5.95
157,batagay-alyta,RU,2020-11-09 22:31:18,67.8,130.41,-19.7,86,1,2.82
