City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
545,kloulklubed,PW,82.4,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
548,likasi,CD,66.47,light rain,-10.98,26.73,TABERNACLE DE LIKASI
549,namibe,AO,73.36,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
551,saint-michel-des-saints,CA,61.0,overcast clouds,46.68,-73.92,Motel Du Mont trinity
552,chengalpattu,IN,77.0,mist,12.7,79.98,Fairfield by Marriott Chennai Mahindra World City
553,mogadishu,SO,74.93,light rain,2.04,45.34,Hotel Juba
554,nanyamba,TZ,69.85,broken clouds,-10.68,39.83,Busati Lodge Nanyamba
555,ishigaki,JP,73.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
556,mormugao,IN,69.8,light rain,15.4,73.8,Coconut Creek Resort
558,mayumba,GA,76.41,overcast clouds,-3.43,10.66,LIKWALE LODGE
559,nelson bay,AU,75.0,clear sky,-32.72,152.15,Mantra Nelson Bay
562,san policarpo,PH,78.67,light rain,12.18,125.51,Zal-Ann Beach Resort
563,tehuacan,MX,70.0,clear sky,18.45,-97.38,Hotel & Spa Casa Cantarranas Tehuacán
568,porto walter,BR,75.31,overcast clouds,-8.27,-72.74,Hotel Silva
569,ambilobe,MG,71.37,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
570,baisha,CN,61.11,clear sky,26.52,110.93,
573,sao miguel do araguaia,BR,78.28,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
575,ugoofaaru,MV,82.67,overcast clouds,5.67,73.0,Ungoofaaru Inn
576,utete,TZ,76.01,light rain,-7.99,38.76,Andenda Inn
580,banfora,BF,75.2,clear sky,10.63,-4.77,Residences David Hebié
582,harer,ET,60.19,scattered clouds,9.31,42.13,Amir Cultural Harari Guesthouse
584,caruray,PH,80.6,scattered clouds,10.31,119.01,
585,san cristobal,VE,67.41,light rain,7.77,-72.22,Pirineos
589,poum,NC,71.06,moderate rain,-20.23,164.02,Gîte kajeon
590,road town,VG,75.99,overcast clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
591,kapoeta,SS,74.37,moderate rain,4.77,33.59,Eastgate Hotel
594,kaeo,NZ,66.99,scattered clouds,-35.1,173.78,Bushido Lodge
595,malinalco,MX,80.6,clear sky,18.95,-99.5,Hotel Marmil
597,dakar,SN,80.6,clear sky,14.69,-17.44,Novotel Dakar
598,sao jose da coroa grande,BR,76.73,clear sky,-8.9,-35.15,Crôa Mares Hotel
601,la plata,AR,66.0,overcast clouds,-34.92,-57.95,Hotel Corregidor
602,celestun,MX,78.39,clear sky,20.87,-90.4,Posada Lilia
605,ondjiva,AO,78.71,broken clouds,-17.07,15.73,SOS Motel
608,shenjiamen,CN,62.64,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
610,liuzhou,CN,62.78,clear sky,24.31,109.39,Linjiang Inn
614,baracoa,CU,78.93,overcast clouds,20.35,-74.5,Hostal Rio Miel
616,yenagoa,NG,75.27,overcast clouds,4.92,6.26,Amba Hotels Limited
617,maldonado,UY,62.6,clear sky,-34.67,-54.92,La Cimarrona
618,kieta,PG,84.67,light rain,-6.22,155.63,
620,laureles,US,77.0,clear sky,26.11,-97.49,Los Fresnos Inn
623,manyana,BW,70.54,clear sky,-23.4,21.72,
624,iquitos,PE,77.0,clear sky,-3.75,-73.25,Cortez Malaga Techy Caroly
625,bairiki,KI,84.2,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
626,bonthe,SL,78.12,moderate rain,7.53,-12.51,Bonthe Holiday Village
630,wellsford,NZ,64.99,overcast clouds,-36.28,174.52,Sun Valley Motel
631,paratebueno,CO,75.42,light rain,4.38,-73.22,Casa Hotel Paratebueno
632,akyab,MM,76.6,clear sky,20.15,92.9,Hotel Memory
633,jerez,GT,73.4,scattered clouds,14.1,-89.75,PRIMER IGLESIA BAUTISTA MONTE LOS OLIVOS EL TANQUE
635,marau,BR,64.6,overcast clouds,-28.45,-52.2,Hotel Pousada Tordilho Negro
637,rodrigues alves,BR,74.73,overcast clouds,-7.74,-72.65,Pousada Aconchego
639,gat,IL,64.0,clear sky,31.61,34.76,OlusHome
640,maturin,VE,74.44,overcast clouds,9.75,-63.18,Residencias Guaritos I
641,nong kung si,TH,69.8,broken clouds,16.65,103.3,บ้าน พี่บิ๊ก
642,tautira,PF,73.4,light rain,-17.73,-149.15,Pension Oaoa
644,grand-santi,GF,75.58,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
645,trairi,BR,80.98,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
648,koumac,NC,73.09,overcast clouds,-20.57,164.28,Le Monitel
649,ndende,GA,71.62,overcast clouds,-2.4,11.36,
652,perth,AU,60.01,clear sky,-31.93,115.83,Parmelia Hilton Perth
654,balabac,PH,83.25,scattered clouds,7.99,117.06,Sing and Swing Lodge
656,paulo afonso,BR,74.8,clear sky,-9.41,-38.21,Pousada Ilha Bela
657,durgapur,IN,71.6,haze,23.48,87.32,OYO 23635 Sher E Bengal
658,mocuba,MZ,72.79,clear sky,-16.84,36.99,Phama Lodge
660,linhai,CN,61.0,clear sky,28.85,121.12,Linhai S&N International Hotel
661,primo tapia,MX,66.2,clear sky,32.22,-116.92,Puerto Nuevo Baja Hotel y Villas
662,ducheng,CN,66.33,clear sky,23.24,111.53,Xinyongguang Hotel
663,lafiagi,NG,79.45,broken clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
664,alice springs,AU,89.6,dust,-23.7,133.88,Desert Palms Alice Springs
665,capelinha,BR,63.91,clear sky,-17.69,-42.52,Marinho Plaza Hotel
666,sironko,UG,65.46,clear sky,1.23,34.25,Fam-Ki Hotel
669,maxixe,MZ,72.0,clear sky,-23.86,35.35,Oceano
670,pinillos,CO,75.31,moderate rain,8.92,-74.47,HOTEL EL CASIQUE
671,rio cuarto,AR,69.8,clear sky,-33.13,-64.35,Hotel Menossi
672,rurrenabaque,BO,74.7,heavy intensity rain,-14.44,-67.53,Casa de Campo
673,faanui,PF,75.18,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
677,puerto madryn,AR,61.52,clear sky,-42.77,-65.04,Hotel Tolosa
679,anantapur,IN,62.65,clear sky,14.68,77.6,Hotal
