City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
521,atar,MR,81.9,clear sky,20.52,-13.05,Oumou Elghoura
522,the valley,AI,77.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
523,adrar,MR,78.24,clear sky,20.5,-10.07,
524,bernardino de campos,BR,68.77,overcast clouds,-23.01,-49.47,Pousada Dudamaral
525,yueyang,CN,61.32,clear sky,29.33,113.09,Delong Fortune Hotel
526,canto do buriti,BR,77.83,clear sky,-8.11,-42.94,Novo Hotel
527,asosa,ET,63.25,clear sky,10.07,34.53,Blendana Hotel Assosa
528,camacupa,AO,61.81,overcast clouds,-12.02,17.48,
529,jutai,BR,73.78,moderate rain,-5.18,-68.9,
532,chenghai,CN,66.2,clear sky,23.46,116.77,Guangdong Hotel
534,abasolo,MX,78.8,scattered clouds,20.45,-101.52,Hotel Balneario Parque Acuático la Caldera
536,goure,NE,73.0,clear sky,13.98,10.27,
540,ingham,US,71.6,broken clouds,42.6,-84.38,Sunset Place
542,bubaque,GW,83.08,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
543,pundaguitan,PH,83.12,broken clouds,6.37,126.17,Leonardo Family Beach House 1
